PLANTA,TEMPORADA,F. BATCH,%SP+P
CALLAO,2025 - I,14/05/2025,12 %
CALLAO,2025 - I,17/05/2025,50 %
CALLAO,2025 - I,18/05/2025,34 %
CALLAO,2025 - I,19/05/2025,47 %
CALLAO,2025 - I,20/05/2025,48 %
CALLAO,2025 - I,21/05/2025,4 %
CALLAO,2025 - I,26/05/2025,74 %
CALLAO,2025 - I,27/05/2025,14 %
CALLAO,2025 - I,30/05/2025,87 %
CALLAO,2025 - I,31/05/2025,10 %
CALLAO,2025 - I,01/06/2025,0 %
CALLAO,2025 - I,02/06/2025,54 %
CALLAO,2025 - I,03/06/2025,0 %
CALLAO,2025 - I,04/06/2025,47 %
CALLAO,2025 - I,05/06/2025,25 %
CALLAO,2025 - I,06/06/2025,0 %
CALLAO,2025 - I,07/06/2025,9 %
CALLAO,2025 - I,08/06/2025,14 %
CALLAO,2025 - I,09/06/2025,22 %
CALLAO,2025 - I,10/06/2025,0 %
CALLAO,2025 - I,11/06/2025,0 %
CALLAO,2025 - I,12/06/2025,0 %
CALLAO,2025 - I,15/06/2025,0 %
CALLAO,2025 - I,16/06/2025,0 %
CALLAO,2025 - I,17/06/2025,66 %
CALLAO,2025 - I,18/06/2025,0 %
CALLAO,2025 - I,19/06/2025,0 %
CALLAO,2025 - I,20/06/2025,0 %
CALLAO,2025 - I,21/06/2025,21 %
CALLAO,2025 - I,22/06/2025,5 %
CALLAO,2025 - I,23/06/2025,0 %
CALLAO,2025 - I,24/06/2025,36 %
CALLAO,2025 - I,25/06/2025,13 %
CALLAO,2025 - I,01/07/2025,12 %
CALLAO,2025 - I,02/07/2025,12 %
CALLAO,2025 - I,03/07/2025,23 %
CALLAO,2025 - I,04/07/2025,54 %
CALLAO,2025 - I,05/07/2025,8 %
CALLAO,2025 - I,06/07/2025,0 %
CALLAO,2025 - I,07/07/2025,0 %
CALLAO,2025 - I,08/07/2025,2 %
CALLAO,2025 - I,09/07/2025,0 %
CALLAO,2025 - I,10/07/2025,0 %
CALLAO,2025 - I,11/07/2025,0 %
CALLAO,2025 - I,12/07/2025,0 %
CALLAO,2025 - I,13/07/2025,0 %
CALLAO,2025 - I,14/07/2025,0 %
CALLAO,2025 - I,18/07/2025,0 %
CALLAO,2025 - I,19/07/2025,0 %
CALLAO,2025 - I,20/07/2025,0 %
CALLAO,2025 - I,21/07/2025,0 %
CALLAO,2025 - I,22/07/2025,0 %
CALLAO,2025 - I,23/07/2025,0 %
CALLAO,2025 - II,,0 %
CALLAO,2025 - II,07/11/2025,14 %
CALLAO,2025 - II,08/11/2025,11 %
CALLAO,2025 - II,09/11/2025,42 %
CALLAO,2025 - II,10/11/2025,0 %
CALLAO,2025 - II,12/11/2025,0 %
CALLAO,2025 - II,29/11/2025,43 %
CALLAO,2025 - II,30/11/2025,58 %
CALLAO,2025 - II,01/12/2025,12 %
CALLAO,2025 - II,02/12/2025,63 %
CALLAO,2025 - II,03/12/2025,82 %
CALLAO,2025 - II,04/12/2025,78 %
CALLAO,2025 - II,05/12/2025,76 %
CALLAO,2025 - II,06/12/2025,64 %
CALLAO,2025 - II,07/12/2025,86 %
CALLAO,2025 - II,08/12/2025,84 %
CALLAO,2025 - II,09/12/2025,72 %
CALLAO,2025 - II,10/12/2025,13 %
CALLAO,2025 - II,11/12/2025,85 %
CALLAO,2025 - II,12/12/2025,72 %
CALLAO,2025 - II,13/12/2025,13 %
CALLAO,2025 - II,14/12/2025,11 %
CALLAO,2025 - II,15/12/2025,4 %
CALLAO,2025 - II,16/12/2025,89 %
CALLAO,2025 - II,17/12/2025,41 %
CALLAO,2025 - II,18/12/2025,48 %
CALLAO,2025 - II,19/12/2025,0 %
CALLAO,2025 - II,20/12/2025,53 %
CALLAO,2025 - II,21/12/2025,48 %
CALLAO,2025 - II,22/12/2025,31 %
CALLAO,2025 - II,23/12/2025,0 %
CALLAO,2025 - II,27/12/2025,26 %
CALLAO,2025 - II,28/12/2025,0 %
CALLAO,2025 - II,29/12/2025,0 %
CALLAO,2025 - II,30/12/2025,0 %
CALLAO,2025 - II,31/12/2025,15 %
CALLAO,2025 - II,01/01/2026,0 %
CALLAO,2025 - II,05/01/2026,0 %
CALLAO,2026 - I,09/04/2026,7 %
CALLAO,2026 - I,10/04/2026,0 %
CALLAO,2026 - I,11/04/2026,18 %
CALLAO,2026 - I,12/04/2026,0 %
CALLAO,2026 - I,13/04/2026,0 %
CALLAO,2026 - I,14/04/2026,0 %
CALLAO,2026 - I,15/04/2026,0 %
CALLAO,2026 - I,16/04/2026,2 %
CALLAO,2026 - I,17/04/2026,5 %
CALLAO,2026 - I,18/04/2026,0 %
CALLAO,2026 - I,19/04/2026,0 %
CALLAO,2026 - I,20/04/2026,0 %
CALLAO,2026 - I,21/04/2026,3 %
CALLAO,2026 - I,22/04/2026,22 %
CALLAO,2026 - I,23/04/2026,0 %
CALLAO,2026 - I,25/04/2026,0 %
PISCO SUR,2025 - I,22/04/2025,38 %
PISCO SUR,2025 - I,23/04/2025,49 %
PISCO SUR,2025 - I,24/04/2025,69 %
PISCO SUR,2025 - I,25/04/2025,100 %
PISCO SUR,2025 - I,26/04/2025,34 %
PISCO SUR,2025 - I,27/04/2025,13 %
PISCO SUR,2025 - I,28/04/2025,47 %
PISCO SUR,2025 - I,29/04/2025,32 %
PISCO SUR,2025 - I,30/04/2025,19 %
PISCO SUR,2025 - I,01/05/2025,20 %
PISCO SUR,2025 - I,02/05/2025,4 %
PISCO SUR,2025 - I,03/05/2025,0 %
PISCO SUR,2025 - I,04/05/2025,0 %
PISCO SUR,2025 - I,05/05/2025,25 %
PISCO SUR,2025 - I,06/05/2025,12 %
PISCO SUR,2025 - I,07/05/2025,0 %
PISCO SUR,2025 - I,08/05/2025,26 %
PISCO SUR,2025 - I,09/05/2025,16 %
PISCO SUR,2025 - I,10/05/2025,57 %
PISCO SUR,2025 - I,11/05/2025,15 %
PISCO SUR,2025 - I,12/05/2025,10 %
PISCO SUR,2025 - I,13/05/2025,39 %
PISCO SUR,2025 - I,14/05/2025,20 %
PISCO SUR,2025 - I,15/05/2025,0 %
PISCO SUR,2025 - I,16/05/2025,0 %
PISCO SUR,2025 - I,17/05/2025,44 %
PISCO SUR,2025 - I,18/05/2025,0 %
PISCO SUR,2025 - I,19/05/2025,18 %
PISCO SUR,2025 - I,20/05/2025,70 %
PISCO SUR,2025 - I,21/05/2025,4 %
PISCO SUR,2025 - I,22/05/2025,11 %
PISCO SUR,2025 - I,23/05/2025,69 %
PISCO SUR,2025 - I,24/05/2025,9 %
PISCO SUR,2025 - I,25/05/2025,4 %
PISCO SUR,2025 - I,26/05/2025,71 %
PISCO SUR,2025 - I,27/05/2025,100 %
PISCO SUR,2025 - I,28/05/2025,100 %
PISCO SUR,2025 - I,30/05/2025,89 %
PISCO SUR,2025 - I,31/05/2025,79 %
PISCO SUR,2025 - I,01/06/2025,86 %
PISCO SUR,2025 - I,02/06/2025,57 %
PISCO SUR,2025 - I,03/06/2025,98 %
PISCO SUR,2025 - I,04/06/2025,67 %
PISCO SUR,2025 - I,05/06/2025,16 %
PISCO SUR,2025 - I,06/06/2025,53 %
PISCO SUR,2025 - I,07/06/2025,52 %
PISCO SUR,2025 - I,08/06/2025,50 %
PISCO SUR,2025 - I,09/06/2025,28 %
PISCO SUR,2025 - I,10/06/2025,75 %
PISCO SUR,2025 - I,11/06/2025,12 %
PISCO SUR,2025 - I,12/06/2025,18 %
PISCO SUR,2025 - I,13/06/2025,0 %
PISCO SUR,2025 - I,14/06/2025,34 %
PISCO SUR,2025 - I,16/06/2025,0 %
PISCO SUR,2025 - I,17/06/2025,78 %
PISCO SUR,2025 - I,18/06/2025,57 %
PISCO SUR,2025 - I,19/06/2025,71 %
PISCO SUR,2025 - I,20/06/2025,24 %
PISCO SUR,2025 - I,21/06/2025,0 %
