PLANTA,TEMPORADA,Fecha_Batch,DESCARG,TDC_POND,JUVX2,Munida_pond
Supe,2025 - I,19/06/25,447,10.7,13.2 %,6.0
Supe,2025 - I,10/07/25,349,9.4,53.2 %,6.4
Supe,2025 - II,14/11/25,204,17.8,74.7 %,0.0
Supe,2026 - I,10/04/26,710,10.4,36.1 %,0.0
Supe,2026 - I,11/04/26,477,12.3,49.7 %,2.3
Supe,2026 - I,12/04/26,942,9.6,38.0 %,0.0
Supe,2026 - I,13/04/26,177,7.4,53.0 %,0.0
Supe,2026 - I,21/04/26,892,19.1,49.8 %,6.9
Supe,2026 - I,22/04/26,"1,682",17.6,52.8 %,0.0
Supe,2026 - I,23/04/26,"1,471",16.1,68.5 %,2.7
Supe,2026 - I,24/04/26,694,26.1,62.5 %,0.6
Vegueta,2025 - I,22/04/25,"2,822",15.4,25.7 %,0.7
Vegueta,2025 - I,23/04/25,972,17.2,32.8 %,0.1
Vegueta,2025 - I,24/04/25,303,9.1,32.7 %,3.4
Vegueta,2025 - I,25/04/25,"1,775",16.0,12.6 %,5.5
Vegueta,2025 - I,27/04/25,"1,818",16.6,40.8 %,5.7
Vegueta,2025 - I,28/04/25,"1,304",14.9,29.8 %,10.8
Vegueta,2025 - I,29/04/25,"1,566",8.8,34.8 %,3.1
Vegueta,2025 - I,30/04/25,"2,621",14.4,45.4 %,0.9
Vegueta,2025 - I,1/05/25,"2,524",13.3,41.9 %,9.0
Vegueta,2025 - I,2/05/25,"3,129",14.2,27.3 %,7.3
Vegueta,2025 - I,3/05/25,"1,399",16.1,42.6 %,10.3
Vegueta,2025 - I,4/05/25,"2,598",12.3,62.7 %,13.8
Vegueta,2025 - I,5/05/25,"1,903",10.0,10.8 %,1.2
Vegueta,2025 - I,6/05/25,"1,483",13.5,23.3 %,5.8
Vegueta,2025 - I,7/05/25,"2,561",16.9,62.5 %,10.2
Vegueta,2025 - I,8/05/25,"2,268",13.4,43.0 %,3.4
Vegueta,2025 - I,9/05/25,"2,568",20.8,43.4 %,15.8
Vegueta,2025 - I,10/05/25,"2,644",11.7,9.6 %,0.1
Vegueta,2025 - I,11/05/25,"3,309",14.4,17.6 %,0.0
Vegueta,2025 - I,12/05/25,"2,314",12.0,15.1 %,1.1
Vegueta,2025 - I,13/05/25,"1,216",15.5,16.1 %,4.2
Vegueta,2025 - I,14/05/25,"2,074",13.6,19.0 %,1.0
Vegueta,2025 - I,16/05/25,"1,423",14.5,13.5 %,0.2
Vegueta,2025 - I,17/05/25,"2,902",15.1,23.8 %,6.2
Vegueta,2025 - I,18/05/25,"2,003",11.9,37.1 %,4.2
Vegueta,2025 - I,19/05/25,"2,772",16.6,31.8 %,0.8
Vegueta,2025 - I,20/05/25,"3,041",14.5,25.9 %,1.3
Vegueta,2025 - I,21/05/25,274,8.7,24.4 %,0.0
Vegueta,2025 - I,30/05/25,638,10.2,27.8 %,0.0
Vegueta,2025 - I,31/05/25,830,18.5,61.9 %,32.3
Vegueta,2025 - I,2/06/25,"1,293",14.4,41.3 %,0.6
Vegueta,2025 - I,3/06/25,"1,198",12.2,28.9 %,7.0
Vegueta,2025 - I,4/06/25,"1,299",28.4,31.3 %,1.3
Vegueta,2025 - I,5/06/25,"2,349",19.7,36.9 %,2.2
Vegueta,2025 - I,11/06/25,616,13.6,71.7 %,1.1
Vegueta,2025 - I,12/06/25,196,10.9,40.6 %,1.9
Vegueta,2025 - I,20/06/25,862,10.6,45.1 %,6.3
Vegueta,2025 - I,21/06/25,827,6.3,42.2 %,2.0
Vegueta,2025 - I,22/06/25,"1,334",9.1,55.3 %,4.5
Vegueta,2025 - I,23/06/25,260,5.8,63.6 %,1.8
Vegueta,2025 - I,24/06/25,261,5.4,42.2 %,3.1
Vegueta,2025 - I,25/06/25,385,12.3,25.3 %,13.0
Vegueta,2025 - I,26/06/25,79,5.2,51.4 %,6.0
Vegueta,2025 - I,2/07/25,118,14.4,90.9 %,1.0
Vegueta,2025 - II,,11,6.7,1.1 %,0.0
Vegueta,2025 - II,11/11/25,679,10.3,53.1 %,7.7
Vegueta,2025 - II,14/11/25,"1,264",19.8,5.1 %,0.0
Vegueta,2025 - II,19/11/25,"1,415",29.9,7.7 %,0.0
Vegueta,2025 - II,20/11/25,931,21.3,6.7 %,0.4
Vegueta,2025 - II,23/11/25,317,13.7,15.0 %,0.8
Vegueta,2025 - II,24/11/25,"2,619",15.7,10.2 %,1.2
Vegueta,2025 - II,25/11/25,273,11.9,4.1 %,1.2
Vegueta,2025 - II,26/11/25,918,14.1,7.1 %,0.0
Vegueta,2025 - II,27/11/25,293,12.6,6.4 %,0.5
Vegueta,2025 - II,28/11/25,274,14.9,2.5 %,0.2
Vegueta,2025 - II,29/11/25,"2,854",15.7,3.4 %,0.0
Vegueta,2025 - II,30/11/25,"2,743",12.4,2.6 %,0.0
Vegueta,2025 - II,1/12/25,"1,052",10.2,1.5 %,1.8
Vegueta,2025 - II,2/12/25,428,12.3,2.3 %,2.9
Vegueta,2025 - II,4/12/25,"1,521",17.7,4.1 %,1.8
Vegueta,2025 - II,5/12/25,"3,087",22.7,1.4 %,0.0
Vegueta,2025 - II,6/12/25,"2,722",24.7,3.9 %,0.1
Vegueta,2025 - II,7/12/25,"3,176",19.1,3.3 %,0.0
Vegueta,2025 - II,8/12/25,"1,835",16.0,2.3 %,0.7
Vegueta,2025 - II,9/12/25,150,7.2,1.7 %,0.6
Vegueta,2025 - II,10/12/25,"1,741",12.2,0.8 %,0.0
Vegueta,2025 - II,11/12/25,"1,760",13.3,2.3 %,1.4
Vegueta,2025 - II,16/12/25,936,27.3,0.8 %,0.0
Vegueta,2025 - II,19/12/25,"1,898",15.9,5.3 %,0.0
Vegueta,2025 - II,20/12/25,"2,479",13.8,3.7 %,0.1
Vegueta,2025 - II,21/12/25,133,24.6,2.5 %,0.0
Vegueta,2025 - II,27/12/25,868,7.3,3.2 %,5.3
Vegueta,2025 - II,28/12/25,385,27.3,46.4 %,3.8
