PLANTA,TEMPORADA,Fecha_Batch,DESCARG,TDC_POND,JUVX2,Munida_pond
Malabrigo,2024 - I,2/05/24,"1,065",6.7,64.0 %,0.6
Malabrigo,2024 - I,3/05/24,"2,482",11.8,26.1 %,0.7
Malabrigo,2024 - I,4/05/24,"1,592",8.4,52.2 %,0.4
Malabrigo,2024 - I,5/05/24,"3,580",13.8,6.6 %,0.5
Malabrigo,2024 - I,6/05/24,"3,699",13.5,10.9 %,0.7
Malabrigo,2024 - I,7/05/24,"2,930",14.9,6.4 %,0.3
Malabrigo,2024 - I,8/05/24,867,8.7,19.0 %,0.0
Malabrigo,2024 - I,9/05/24,"3,450",13.5,21.9 %,1.7
Malabrigo,2024 - I,10/05/24,"3,531",15.5,14.0 %,0.4
Malabrigo,2024 - I,11/05/24,"3,406",11.9,20.0 %,0.1
Malabrigo,2024 - I,12/05/24,"3,279",11.4,26.4 %,0.7
Malabrigo,2024 - I,13/05/24,"3,529",20.5,15.5 %,0.3
Malabrigo,2024 - I,14/05/24,"3,457",11.4,6.0 %,0.0
Malabrigo,2024 - I,15/05/24,"2,398",20.6,7.0 %,0.1
Malabrigo,2024 - I,16/05/24,"3,308",12.3,12.6 %,0.5
Malabrigo,2024 - I,17/05/24,"3,686",12.8,4.8 %,0.3
Malabrigo,2024 - I,18/05/24,"3,736",15.2,8.8 %,0.6
Malabrigo,2024 - I,19/05/24,"3,202",15.6,5.7 %,0.3
Malabrigo,2024 - I,21/05/24,"3,625",25.5,5.3 %,0.9
Malabrigo,2024 - I,22/05/24,"2,540",22.9,1.8 %,0.1
Malabrigo,2024 - I,23/05/24,849,28.7,3.7 %,0.8
Malabrigo,2024 - I,24/05/24,"5,538",26.4,2.0 %,5.7
Malabrigo,2024 - I,25/05/24,"2,470",19.9,3.3 %,0.4
Malabrigo,2024 - I,26/05/24,756,16.8,,0.0
Malabrigo,2024 - I,27/05/24,"2,541",20.6,12.4 %,0.6
Malabrigo,2024 - I,28/05/24,"2,961",20.2,8.8 %,0.1
Malabrigo,2024 - I,29/05/24,"2,600",17.2,32.2 %,2.7
Malabrigo,2024 - I,30/05/24,"2,406",20.2,22.6 %,1.6
Malabrigo,2024 - I,31/05/24,"1,954",18.1,24.8 %,4.6
Malabrigo,2024 - I,1/06/24,"2,485",14.6,5.5 %,5.7
Malabrigo,2024 - I,2/06/24,"1,516",18.1,11.1 %,0.9
Malabrigo,2024 - I,3/06/24,"3,531",18.1,7.0 %,0.5
Malabrigo,2024 - II,1/11/24,251,5.1,0.0 %,0.6
Malabrigo,2024 - II,2/11/24,"2,687",10.5,0.0 %,2.8
Malabrigo,2024 - II,3/11/24,578,9.7,0.2 %,0.0
Malabrigo,2024 - II,4/11/24,"1,868",11.0,0.1 %,7.6
Malabrigo,2024 - II,5/11/24,"1,365",12.1,0.0 %,0.0
Malabrigo,2024 - II,6/11/24,"1,695",14.7,0.0 %,0.0
Malabrigo,2024 - II,7/11/24,"1,009",12.2,0.0 %,0.0
Malabrigo,2024 - II,8/11/24,"2,773",13.2,0.0 %,0.0
Malabrigo,2024 - II,9/11/24,"2,536",13.4,0.0 %,1.5
Malabrigo,2024 - II,10/11/24,"1,204",11.5,0.0 %,0.0
Malabrigo,2024 - II,11/11/24,539,10.0,0.2 %,0.0
Malabrigo,2024 - II,12/11/24,493,9.2,0.0 %,0.0
Malabrigo,2024 - II,13/11/24,198,7.7,,0.0
Malabrigo,2024 - II,14/11/24,450,7.6,,0.0
Malabrigo,2024 - II,15/11/24,48,8.6,,0.0
Malabrigo,2024 - II,19/11/24,359,8.5,0.0 %,2.5
Malabrigo,2024 - II,20/11/24,467,13.2,0.0 %,0.7
Malabrigo,2024 - II,21/11/24,"2,084",13.0,0.0 %,4.7
Malabrigo,2024 - II,22/11/24,"1,898",14.2,22.2 %,21.6
Malabrigo,2024 - II,23/11/24,"1,623",20.9,15.0 %,18.3
Malabrigo,2024 - II,24/11/24,496,24.6,21.7 %,0.0
Malabrigo,2024 - II,25/11/24,274,16.2,40.3 %,0.0
Malabrigo,2024 - II,27/11/24,757,16.0,8.4 %,3.2
Malabrigo,2024 - II,28/11/24,464,8.6,0.0 %,0.0
Malabrigo,2024 - II,29/11/24,"1,531",20.6,10.2 %,12.6
Malabrigo,2024 - II,30/11/24,"1,795",10.7,11.8 %,3.0
Malabrigo,2024 - II,1/12/24,"2,787",10.9,6.2 %,21.4
Malabrigo,2024 - II,2/12/24,"3,875",13.3,1.9 %,9.9
Malabrigo,2024 - II,3/12/24,"1,991",11.0,4.7 %,3.0
Malabrigo,2024 - II,4/12/24,"2,283",10.5,1.3 %,17.6
Malabrigo,2024 - II,5/12/24,"3,360",15.3,7.4 %,7.5
Malabrigo,2024 - II,6/12/24,"2,862",12.4,0.2 %,13.3
Malabrigo,2024 - II,7/12/24,"3,186",16.9,0.5 %,6.8
Malabrigo,2024 - II,8/12/24,"2,816",13.1,2.5 %,3.0
Malabrigo,2024 - II,9/12/24,"3,675",12.7,0.0 %,0.0
Malabrigo,2024 - II,10/12/24,"1,792",9.6,0.3 %,0.0
Malabrigo,2024 - II,11/12/24,"2,361",15.1,4.4 %,0.0
Malabrigo,2024 - II,12/12/24,"1,808",9.2,28.5 %,13.1
Malabrigo,2024 - II,13/12/24,"3,772",16.6,0.0 %,9.6
Malabrigo,2024 - II,14/12/24,"2,903",14.9,0.0 %,1.7
Malabrigo,2024 - II,15/12/24,"3,038",14.2,7.8 %,0.0
Malabrigo,2024 - II,16/12/24,"3,114",13.4,3.8 %,0.0
